CUE Anexo|Jardín maternal|Inicial|Primaria|Secundaria|Secundaria Técnica (INET)|Superior no Universitario|Superior No Universitario (INET)
060073900|X|X|||||
060074000|||X||||
060074100||||X|X||
060074200||||X|||
060074300|||||||
060074400|||X||||
060074500|||||||
060074700|X|X|||||
060074800|||X||||
060074900|X|X|||||
060075000||X|||||
060075100|||X||||
060075200|||X||||
060075300|X|X|||||
060075400||X|||||
060075500|||X||||
060075600|||X||||
060075700|||X||||
060075800|||X||||
060075900||X|||||
060076200|||X||||
060076300|||X||||
060076400|||X||||
060076500|||X||||
060076600|||||||
060076700||X|||||
060076800||X|||||
060076900|X|X|||||
060077000|||X||||
060077100|||X||||
060077200|||X||||
060077300|||X||||
060077400|||X||||
060077500|||X||||
060077600||||||X|
060077700||X|||||
060077800||||X|||
060077900||||X|||
060078000|||X||||
060078100|||X||||
060078200|X|X|||||
060078300|X|X|||||
060078400|X|X|||||
060078500|||||||
060078501|||||||
060078600||X|||||
060078700||X|||||
060078800||X|||||
060079100|||||||
060079200|||X||||
060079300|||X||||
060079400|||X||||
060079500|||X||||
060079600|||X||||
060079700|||X||||
060079800|||X||||
060079900|X|X|||||
060080100|||X||||
060080200|||X||||
060080300|||X||||
060080400|||X||||
060080600|X|X|||||
060080700||X|||||
060080800|||X||||
060080900|||X||||
060081100||||X|||
060081200||X|||||
060081300||X|||||
060081400||X|||||
060081500||X|||||
060081600|||X||||
060081700|||X||||
060081800|||X||||
060081900|||X||||
060082100|||||||
060082101|||||||
060082103|||||||
060082104|||||||
060082200||X|||||
060082300||X|||||
060082400||X|||||
060082500|||X||||
060082600|||X||||
060082800||X|||||
060083100||X|||||
060083300||X|||||
060083400|||||||
060083500||X|||||
060083600|X|X|||||
060083700|||||||
060083800||X|||||
060083900|||X||||
060084000|X|X|||||
060084100||X|||||
060084300|||||||
060084302|||||||
060084303|||||||
060084400|||X||||
060084600||X|||||
060084700|X|X|||||
060084800|X|X|||||
060084900|||||||
060084901|||||||
060084902|||||||
060084903|||||||
060085000|||X||||
060085100|X|X|||||
060085200|||||||
060085400|||X||||
060085500|||X||||
060085600|||X||||
060085700|||X||||
060085800|||X||||
060086000|X|X|||||
060086100||X|||||
060086300||X|||||
060086400|||X||||
060086600|||X||||
060086700|||X||||
060087000|||X||||
060087400|||X||||
060087500||||X|||
060087501||||X|||
060087600|||X||||
060087700|||X||||
060087800|||X||||
060088000||X|||||
